row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
77,Africa29,2009,South Africa,Africa,7585,https://www.conservationevidence.com/individual-study/7585,1,"School of Biological & Conservation Sciences, University of KwaZulu-Natal, P/Bag X01, Scottsville, Pietermaritzburg, 3209, South Africa",South Africa,University,,Africa,7585 1,1
78,Africa29,2009,South Africa,Africa,7585,https://www.conservationevidence.com/individual-study/7585,2,"School of Biological & Conservation Sciences, University of KwaZulu-Natal, P/Bag X01, Scottsville, Pietermaritzburg, 3209, South Africa",South Africa,University,,Africa,7585 2,0
79,Africa29,2009,South Africa,Africa,7585,https://www.conservationevidence.com/individual-study/7585,3,"School of Biological & Conservation Sciences, University of KwaZulu-Natal, P/Bag X01, Scottsville, Pietermaritzburg, 3209, South Africa",South Africa,University,,Africa,7585 3,1
80,Africa3,2017,Kenya,Africa,8024,https://www.conservationevidence.com/individual-study/8024,1,"Save the Elephants, P.O. Box 54667, Nairobi, Kenya",Kenya,NGO,,Africa,8024 1,1
81,Africa3,2017,Kenya,Africa,8024,https://www.conservationevidence.com/individual-study/8024,2,"Kenya Wildlife Service, Tsavo East National Park, P.O. Box 14–80300, Voi, Kenya",Kenya,Government,(state corporation),Africa,8024 2,0
82,Africa3,2017,Kenya,Africa,8024,https://www.conservationevidence.com/individual-study/8024,3,"Mwakoma Village, Sagalla, Taita-Taveta, County, Kenya",Kenya,Local,?,Africa,8024 3,0
83,Africa3,2017,Kenya,Africa,8024,https://www.conservationevidence.com/individual-study/8024,4,"Mwakoma Village, Sagalla, Taita-Taveta, County, Kenya",Kenya,Local,?,Africa,8024 4,0
84,Africa3,2017,Kenya,Africa,8024,https://www.conservationevidence.com/individual-study/8024,5,"Save the Elephants, P.O. Box 54667, Nairobi, Kenya",Kenya,NGO,,Africa,8024 5,1
85,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,1,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 1,1
86,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,2,"Tanzania Wildlife Research Institute, Arusha, Tanzania",Tanzania,Government,Parastatal corporation,Africa,8086 2,0
